what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1432903032844
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1432903034575
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903037305
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903037477
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1432903039973
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1432903044918
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903046151
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903046291
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903046463
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903052734
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1432903056837
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1432903058116
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432903063420
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903069987
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903071781
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432903102963
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1432903105427
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1432903106410
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1432903107799
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1432903109998
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903112541
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903132665
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903134007
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903135036
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432903135099
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903136019
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903137189
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432903137236
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1432903139233
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1432903139701
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1432903141760
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1432903149747
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903154178
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903163226
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1432903168654
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903173288
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1432903174551
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903179746
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432903180152
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432903180230
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903180932
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903191945
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1432903193240
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1432903193614
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1432903194613
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903196204
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903201290
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1432903204456
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903208294
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1432903209402
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903210556
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432903210930
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432903211024
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903212225
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903217451
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1432903218590
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1432903219323
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1432903220197
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903222350
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903227123
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432903229011
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1432903232536
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903234674
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903234830
